term,value,.lower,.upper
intercept,613.9415,593.621475,634.7890249999999
stimulus,6.3794699999999995,0.77437875,12.068399999999999
compatibility,13.8931,9.700539500000001,18.114972499999997
interaction,-2.077925,-10.799074999999998,6.851788499999999
