pid,stim,stimd,compat,compatd,rt,c,cs
2,gaze,0.5,incomp,0.5,425,-187.8735531252495,-0.9605979638026718
2,arrow,-0.5,incomp,0.5,437,-175.8735531252495,-0.8992419327175128
2,arrow,-0.5,compat,-0.5,497,-115.87355312524949,-0.5924617772917183
2,gaze,0.5,incomp,0.5,554,-58.87355312524949,-0.3010206296372135
2,arrow,-0.5,compat,-0.5,912,299.1264468747505,1.529434297736694
2,arrow,-0.5,compat,-0.5,745,132.1264468747505,0.6755628651348992
2,gaze,0.5,incomp,0.5,760,147.1264468747505,0.7522579039913478
2,arrow,-0.5,compat,-0.5,935,322.1264468747505,1.6470333573165818
2,gaze,0.5,compat,-0.5,606,-6.873553125249487,-0.035144494934858224
2,gaze,0.5,compat,-0.5,628,15.126446874750513,0.07734156205459979
2,arrow,-0.5,incomp,0.5,719,106.12644687475051,0.5426247977837215
2,arrow,-0.5,compat,-0.5,551,-61.87355312524949,-0.31635963740850326
2,gaze,0.5,incomp,0.5,549,-63.87355312524949,-0.32658564258936307
2,gaze,0.5,compat,-0.5,597,-15.873553125249487,-0.0811615182487274
2,gaze,0.5,compat,-0.5,457,-155.8735531252495,-0.7969818809089148
2,gaze,0.5,compat,-0.5,676,63.12644687475051,0.32276568639523545
2,arrow,-0.5,incomp,0.5,590,-22.873553125249487,-0.11695253638173678
2,arrow,-0.5,incomp,0.5,548,-64.87355312524949,-0.331698645179793
2,gaze,0.5,compat,-0.5,529,-83.87355312524949,-0.4288456943979612
2,gaze,0.5,incomp,0.5,729,116.12644687475051,0.5937548236880206
2,arrow,-0.5,compat,-0.5,681,68.12644687475051,0.348330699347385
2,gaze,0.5,incomp,0.5,540,-72.87355312524949,-0.37260266590323227
2,gaze,0.5,compat,-0.5,611,-1.8735531252494866,-0.009579481982708677
2,arrow,-0.5,incomp,0.5,488,-124.87355312524949,-0.6384788006055875
2,arrow,-0.5,compat,-0.5,569,-43.87355312524949,-0.22432559078076486
2,gaze,0.5,incomp,0.5,624,11.126446874750513,0.056889551692880146
2,gaze,0.5,compat,-0.5,628,15.126446874750513,0.07734156205459979
2,gaze,0.5,incomp,0.5,664,51.12644687475051,0.26140965531007654
2,arrow,-0.5,incomp,0.5,546,-66.87355312524949,-0.3419246503606528
2,gaze,0.5,compat,-0.5,513,-99.87355312524949,-0.5106537358448398
2,arrow,-0.5,incomp,0.5,529,-83.87355312524949,-0.4288456943979612
2,gaze,0.5,compat,-0.5,458,-154.8735531252495,-0.7918688783184848
2,arrow,-0.5,compat,-0.5,676,63.12644687475051,0.32276568639523545
2,gaze,0.5,incomp,0.5,646,33.12644687475051,0.16937560868233814
2,arrow,-0.5,incomp,0.5,592,-20.873553125249487,-0.10672653120087695
2,arrow,-0.5,compat,-0.5,565,-47.87355312524949,-0.2447776011424845
2,arrow,-0.5,incomp,0.5,795,182.1264468747505,0.9312129946563946
2,arrow,-0.5,compat,-0.5,1298,685.1264468747505,3.503053297642639
2,gaze,0.5,compat,-0.5,650,37.12644687475051,0.1898276190440578
2,gaze,0.5,incomp,0.5,668,55.12644687475051,0.28186166567179616
2,arrow,-0.5,incomp,0.5,511,-101.87355312524949,-0.5208797410256996
2,gaze,0.5,incomp,0.5,832,219.1264468747505,1.1203940905023013
2,gaze,0.5,compat,-0.5,523,-89.87355312524949,-0.4595237099405407
2,arrow,-0.5,compat,-0.5,731,118.12644687475051,0.6039808288688805
2,arrow,-0.5,compat,-0.5,724,111.12644687475051,0.568189810735871
2,arrow,-0.5,compat,-0.5,538,-74.87355312524949,-0.3828286710840921
2,arrow,-0.5,incomp,0.5,978,365.1264468747505,1.866892468705068
2,gaze,0.5,incomp,0.5,584,-28.873553125249487,-0.14763055192431623
2,gaze,0.5,compat,-0.5,526,-86.87355312524949,-0.444184702169251
2,arrow,-0.5,incomp,0.5,653,40.12644687475051,0.2051666268153475
2,gaze,0.5,compat,-0.5,801,188.1264468747505,0.961891010198974
2,gaze,0.5,compat,-0.5,500,-112.87355312524949,-0.5771227695204286
2,gaze,0.5,incomp,0.5,831,218.1264468747505,1.1152810879118713
2,arrow,-0.5,compat,-0.5,986,373.1264468747505,1.9077964894285073
2,arrow,-0.5,incomp,0.5,518,-94.87355312524949,-0.4850887228926902
2,arrow,-0.5,incomp,0.5,639,26.126446874750513,0.13358459054932878
2,arrow,-0.5,compat,-0.5,531,-81.87355312524949,-0.4186196892171014
2,arrow,-0.5,incomp,0.5,546,-66.87355312524949,-0.3419246503606528
2,arrow,-0.5,incomp,0.5,489,-123.87355312524949,-0.6333657980151576
2,arrow,-0.5,compat,-0.5,546,-66.87355312524949,-0.3419246503606528
2,arrow,-0.5,incomp,0.5,618,5.126446874750513,0.02621153615030069
2,gaze,0.5,compat,-0.5,655,42.12644687475051,0.21539263199620734
2,gaze,0.5,incomp,0.5,613,0.12644687475051342,6.465231981511414e-4
2,gaze,0.5,compat,-0.5,489,-123.87355312524949,-0.6333657980151576
2,arrow,-0.5,incomp,0.5,611,-1.8735531252494866,-0.009579481982708677
2,gaze,0.5,incomp,0.5,648,35.12644687475051,0.17960161386319798
2,arrow,-0.5,incomp,0.5,604,-8.873553125249487,-0.04537050011571804
2,gaze,0.5,incomp,0.5,568,-44.87355312524949,-0.22943859337119477
2,arrow,-0.5,compat,-0.5,566,-46.87355312524949,-0.2396645985520546
2,arrow,-0.5,incomp,0.5,756,143.1264468747505,0.7318058936296282
2,gaze,0.5,incomp,0.5,537,-75.87355312524949,-0.387941673674522
2,arrow,-0.5,compat,-0.5,504,-108.87355312524949,-0.556670759158709
2,arrow,-0.5,compat,-0.5,585,-27.873553125249487,-0.14251754933388633
2,arrow,-0.5,compat,-0.5,727,114.12644687475051,0.5835288185071608
2,gaze,0.5,incomp,0.5,558,-54.87355312524949,-0.28056861927549387
2,gaze,0.5,compat,-0.5,589,-23.873553125249487,-0.12206553897216668
2,gaze,0.5,compat,-0.5,378,-234.8735531252495,-1.2009090855528775
2,gaze,0.5,incomp,0.5,593,-19.873553125249487,-0.10161352861044705
2,gaze,0.5,compat,-0.5,541,-71.87355312524949,-0.3674896633128023
2,gaze,0.5,incomp,0.5,748,135.1264468747505,0.6909018729061889
2,gaze,0.5,incomp,0.5,500,-112.87355312524949,-0.5771227695204286
2,gaze,0.5,compat,-0.5,653,40.12644687475051,0.2051666268153475
2,gaze,0.5,incomp,0.5,613,0.12644687475051342,6.465231981511414e-4
2,arrow,-0.5,compat,-0.5,714,101.12644687475051,0.517059784831572
2,gaze,0.5,compat,-0.5,594,-18.873553125249487,-0.09650052602001713
2,gaze,0.5,compat,-0.5,496,-116.87355312524949,-0.5975747798821482
2,arrow,-0.5,incomp,0.5,681,68.12644687475051,0.348330699347385
2,arrow,-0.5,compat,-0.5,596,-16.873553125249487,-0.08627452083915732
2,arrow,-0.5,compat,-0.5,552,-60.87355312524949,-0.31124663481807335
2,arrow,-0.5,incomp,0.5,542,-70.87355312524949,-0.3623766607223724
2,gaze,0.5,incomp,0.5,654,41.12644687475051,0.21027962940577744
2,arrow,-0.5,incomp,0.5,600,-12.873553125249487,-0.06582251047743767
2,arrow,-0.5,incomp,0.5,748,135.1264468747505,0.6909018729061889
2,arrow,-0.5,incomp,0.5,612,-0.8735531252494866,-0.004466479392278768
2,arrow,-0.5,incomp,0.5,449,-163.8735531252495,-0.837885901632354
2,gaze,0.5,incomp,0.5,491,-121.87355312524949,-0.6231397928342978
2,gaze,0.5,compat,-0.5,533,-79.87355312524949,-0.4083936840362416
2,gaze,0.5,incomp,0.5,677,64.12644687475051,0.32787868898566536
2,gaze,0.5,compat,-0.5,553,-59.87355312524949,-0.3061336322276434
2,gaze,0.5,incomp,0.5,519,-93.87355312524949,-0.4799757203022603
2,gaze,0.5,incomp,0.5,575,-37.87355312524949,-0.1936475752381854
2,arrow,-0.5,compat,-0.5,675,62.12644687475051,0.31765268380480555
2,gaze,0.5,incomp,0.5,517,-95.87355312524949,-0.49020172548312013
2,gaze,0.5,compat,-0.5,1117,504.1264468747505,2.5775998287748254
2,arrow,-0.5,compat,-0.5,613,0.12644687475051342,6.465231981511414e-4
2,gaze,0.5,compat,-0.5,546,-66.87355312524949,-0.3419246503606528
2,arrow,-0.5,incomp,0.5,553,-59.87355312524949,-0.3061336322276434
2,arrow,-0.5,compat,-0.5,841,228.1264468747505,1.1664111138161706
2,gaze,0.5,incomp,0.5,548,-64.87355312524949,-0.331698645179793
2,gaze,0.5,compat,-0.5,619,6.126446874750513,0.0313245387407306
2,arrow,-0.5,incomp,0.5,479,-133.8735531252495,-0.6844958239194567
2,arrow,-0.5,compat,-0.5,514,-98.87355312524949,-0.5055407332544098
2,gaze,0.5,compat,-0.5,527,-85.87355312524949,-0.4390716995788211
2,gaze,0.5,compat,-0.5,464,-148.8735531252495,-0.7611908627759053
2,arrow,-0.5,incomp,0.5,531,-81.87355312524949,-0.4186196892171014
2,gaze,0.5,compat,-0.5,603,-9.873553125249487,-0.05048350270614795
2,gaze,0.5,incomp,0.5,558,-54.87355312524949,-0.28056861927549387
2,arrow,-0.5,incomp,0.5,614,1.1264468747505134,0.005759525788581051
2,gaze,0.5,incomp,0.5,769,156.1264468747505,0.798274927305217
2,arrow,-0.5,compat,-0.5,592,-20.873553125249487,-0.10672653120087695
2,arrow,-0.5,compat,-0.5,494,-118.87355312524949,-0.607800785063008
2,arrow,-0.5,incomp,0.5,583,-29.873553125249487,-0.15274355451474614
2,gaze,0.5,compat,-0.5,516,-96.87355312524949,-0.4953147280735501
2,gaze,0.5,incomp,0.5,658,45.12644687475051,0.23073163976749705
2,arrow,-0.5,compat,-0.5,708,95.12644687475051,0.4863817692889925
2,gaze,0.5,incomp,0.5,533,-79.87355312524949,-0.4083936840362416
2,gaze,0.5,incomp,0.5,645,32.12644687475051,0.16426260609190824
2,arrow,-0.5,incomp,0.5,648,35.12644687475051,0.17960161386319798
2,arrow,-0.5,compat,-0.5,699,86.12644687475051,0.4403647459751233
2,gaze,0.5,compat,-0.5,739,126.12644687475051,0.6448848495923197
2,arrow,-0.5,compat,-0.5,586,-26.873553125249487,-0.13740454674345642
2,gaze,0.5,compat,-0.5,592,-20.873553125249487,-0.10672653120087695
2,arrow,-0.5,incomp,0.5,1390,777.1264468747505,3.9734495359621906
2,arrow,-0.5,incomp,0.5,626,13.126446874750513,0.06711555687373996
2,arrow,-0.5,compat,-0.5,591,-21.873553125249487,-0.11183953379130686
2,arrow,-0.5,compat,-0.5,612,-0.8735531252494866,-0.004466479392278768
2,gaze,0.5,compat,-0.5,584,-28.873553125249487,-0.14763055192431623
2,gaze,0.5,compat,-0.5,581,-31.873553125249487,-0.16296955969560595
2,gaze,0.5,compat,-0.5,1171,558.1264468747505,2.8537019686580405
2,arrow,-0.5,compat,-0.5,721,108.12644687475051,0.5528508029645813
2,gaze,0.5,compat,-0.5,522,-90.87355312524949,-0.4646367125309706
2,arrow,-0.5,incomp,0.5,594,-18.873553125249487,-0.09650052602001713
2,arrow,-0.5,compat,-0.5,486,-126.87355312524949,-0.6487048057864473
5,arrow,-0.5,incomp,0.5,542,-70.87355312524949,-0.3623766607223724
5,arrow,-0.5,incomp,0.5,485,-127.87355312524949,-0.6538178083768773
5,arrow,-0.5,compat,-0.5,611,-1.8735531252494866,-0.009579481982708677
5,gaze,0.5,incomp,0.5,752,139.1264468747505,0.7113538832679085
5,gaze,0.5,compat,-0.5,543,-69.87355312524949,-0.3572636581319425
5,gaze,0.5,incomp,0.5,406,-206.8735531252495,-1.0577450130208401
5,gaze,0.5,compat,-0.5,403,-209.8735531252495,-1.0730840207921297
5,gaze,0.5,incomp,0.5,302,-310.8735531252495,-1.5894972824255507
5,gaze,0.5,incomp,0.5,487,-125.87355312524949,-0.6435918031960174
5,gaze,0.5,incomp,0.5,361,-251.8735531252495,-1.287830129590186
5,arrow,-0.5,incomp,0.5,567,-45.87355312524949,-0.2345515959616247
5,gaze,0.5,incomp,0.5,326,-286.8735531252495,-1.466785220255233
5,gaze,0.5,incomp,0.5,456,-156.8735531252495,-0.8020948834993447
5,arrow,-0.5,compat,-0.5,492,-120.87355312524949,-0.6180267902438679
5,gaze,0.5,compat,-0.5,421,-191.8735531252495,-0.9810499741643914
5,arrow,-0.5,incomp,0.5,457,-155.8735531252495,-0.7969818809089148
5,arrow,-0.5,incomp,0.5,563,-49.87355312524949,-0.25500360632334435
5,gaze,0.5,incomp,0.5,330,-282.8735531252495,-1.446333209893513
5,arrow,-0.5,incomp,0.5,427,-185.8735531252495,-0.950371958621812
5,arrow,-0.5,compat,-0.5,582,-30.873553125249487,-0.15785655710517604
5,gaze,0.5,incomp,0.5,475,-137.8735531252495,-0.7049478342811764
5,arrow,-0.5,compat,-0.5,419,-193.8735531252495,-0.9912759793452512
5,gaze,0.5,incomp,0.5,453,-159.8735531252495,-0.8174338912706344
5,arrow,-0.5,incomp,0.5,553,-59.87355312524949,-0.3061336322276434
5,gaze,0.5,compat,-0.5,432,-180.8735531252495,-0.9248069456696625
5,arrow,-0.5,incomp,0.5,492,-120.87355312524949,-0.6180267902438679
5,gaze,0.5,compat,-0.5,557,-55.87355312524949,-0.2856816218659238
5,arrow,-0.5,compat,-0.5,435,-177.8735531252495,-0.9094679378983728
5,arrow,-0.5,compat,-0.5,639,26.126446874750513,0.13358459054932878
5,arrow,-0.5,compat,-0.5,596,-16.873553125249487,-0.08627452083915732
5,gaze,0.5,compat,-0.5,625,12.126446874750513,0.06200255428331005
5,arrow,-0.5,compat,-0.5,493,-119.87355312524949,-0.612913787653438
5,gaze,0.5,incomp,0.5,399,-213.8735531252495,-1.0935360311538496
5,arrow,-0.5,compat,-0.5,500,-112.87355312524949,-0.5771227695204286
5,arrow,-0.5,incomp,0.5,532,-80.87355312524949,-0.4135066866266715
5,gaze,0.5,compat,-0.5,380,-232.8735531252495,-1.1906830803720176
5,arrow,-0.5,incomp,0.5,482,-130.8735531252495,-0.669156816148167
5,gaze,0.5,incomp,0.5,501,-111.87355312524949,-0.5720097669299987
5,gaze,0.5,compat,-0.5,597,-15.873553125249487,-0.0811615182487274
5,gaze,0.5,incomp,0.5,670,57.12644687475051,0.29208767085265597
5,gaze,0.5,incomp,0.5,560,-52.87355312524949,-0.27034261409463406
5,gaze,0.5,incomp,0.5,943,330.1264468747505,1.6879373780400213
5,arrow,-0.5,compat,-0.5,454,-158.8735531252495,-0.8123208886802045
5,gaze,0.5,incomp,0.5,466,-146.8735531252495,-0.7509648575950455
5,arrow,-0.5,incomp,0.5,627,14.126446874750513,0.07222855946416987
5,arrow,-0.5,compat,-0.5,487,-125.87355312524949,-0.6435918031960174
5,arrow,-0.5,compat,-0.5,497,-115.87355312524949,-0.5924617772917183
5,gaze,0.5,compat,-0.5,546,-66.87355312524949,-0.3419246503606528
5,arrow,-0.5,incomp,0.5,689,76.12644687475051,0.38923472007082427
5,gaze,0.5,compat,-0.5,514,-98.87355312524949,-0.5055407332544098
5,arrow,-0.5,incomp,0.5,443,-169.8735531252495,-0.8685639171749334
5,gaze,0.5,compat,-0.5,718,105.12644687475051,0.5375117951932916
5,gaze,0.5,compat,-0.5,526,-86.87355312524949,-0.444184702169251
5,arrow,-0.5,incomp,0.5,710,97.12644687475051,0.4966077744698523
5,gaze,0.5,compat,-0.5,440,-172.8735531252495,-0.8839029249462231
5,arrow,-0.5,compat,-0.5,572,-40.87355312524949,-0.20898658300947515
5,arrow,-0.5,incomp,0.5,496,-116.87355312524949,-0.5975747798821482
5,arrow,-0.5,compat,-0.5,538,-74.87355312524949,-0.3828286710840921
5,arrow,-0.5,compat,-0.5,449,-163.8735531252495,-0.837885901632354
5,gaze,0.5,compat,-0.5,533,-79.87355312524949,-0.4083936840362416
5,gaze,0.5,incomp,0.5,491,-121.87355312524949,-0.6231397928342978
5,gaze,0.5,compat,-0.5,444,-168.8735531252495,-0.8634509145845035
5,gaze,0.5,compat,-0.5,383,-229.8735531252495,-1.175344072600728
5,arrow,-0.5,compat,-0.5,501,-111.87355312524949,-0.5720097669299987
5,arrow,-0.5,compat,-0.5,548,-64.87355312524949,-0.331698645179793
5,gaze,0.5,compat,-0.5,483,-129.8735531252495,-0.6640438135577371
5,gaze,0.5,compat,-0.5,453,-159.8735531252495,-0.8174338912706344
5,gaze,0.5,incomp,0.5,510,-102.87355312524949,-0.5259927436161295
5,arrow,-0.5,incomp,0.5,591,-21.873553125249487,-0.11183953379130686
5,gaze,0.5,incomp,0.5,533,-79.87355312524949,-0.4083936840362416
5,arrow,-0.5,compat,-0.5,563,-49.87355312524949,-0.25500360632334435
5,gaze,0.5,incomp,0.5,978,365.1264468747505,1.866892468705068
5,arrow,-0.5,incomp,0.5,552,-60.87355312524949,-0.31124663481807335
5,arrow,-0.5,incomp,0.5,608,-4.873553125249487,-0.024918489753998404
5,gaze,0.5,compat,-0.5,620,7.126446874750513,0.036437541331160506
5,gaze,0.5,compat,-0.5,583,-29.873553125249487,-0.15274355451474614
5,arrow,-0.5,compat,-0.5,486,-126.87355312524949,-0.6487048057864473
5,arrow,-0.5,incomp,0.5,399,-213.8735531252495,-1.0935360311538496
5,gaze,0.5,incomp,0.5,540,-72.87355312524949,-0.37260266590323227
5,gaze,0.5,incomp,0.5,547,-65.87355312524949,-0.3368116477702229
5,gaze,0.5,incomp,0.5,603,-9.873553125249487,-0.05048350270614795
5,arrow,-0.5,incomp,0.5,592,-20.873553125249487,-0.10672653120087695
5,gaze,0.5,compat,-0.5,757,144.1264468747505,0.7369188962200581
5,gaze,0.5,compat,-0.5,668,55.12644687475051,0.28186166567179616
5,arrow,-0.5,incomp,0.5,726,113.12644687475051,0.5784158159167309
5,gaze,0.5,incomp,0.5,486,-126.87355312524949,-0.6487048057864473
5,arrow,-0.5,incomp,0.5,575,-37.87355312524949,-0.1936475752381854
5,gaze,0.5,compat,-0.5,502,-110.87355312524949,-0.5668967643395688
5,arrow,-0.5,incomp,0.5,1245,632.1264468747505,3.2320641603498537
5,arrow,-0.5,incomp,0.5,706,93.12644687475051,0.4761557641081327
5,arrow,-0.5,compat,-0.5,482,-130.8735531252495,-0.669156816148167
5,gaze,0.5,incomp,0.5,502,-110.87355312524949,-0.5668967643395688
5,arrow,-0.5,compat,-0.5,502,-110.87355312524949,-0.5668967643395688
5,gaze,0.5,compat,-0.5,407,-205.8735531252495,-1.05263201043041
5,gaze,0.5,incomp,0.5,554,-58.87355312524949,-0.3010206296372135
5,gaze,0.5,compat,-0.5,641,28.126446874750513,0.1438105957301886
5,arrow,-0.5,compat,-0.5,389,-223.8735531252495,-1.1446660570581486
5,gaze,0.5,compat,-0.5,514,-98.87355312524949,-0.5055407332544098
5,arrow,-0.5,compat,-0.5,547,-65.87355312524949,-0.3368116477702229
5,arrow,-0.5,compat,-0.5,1177,564.1264468747505,2.88437998420062
5,arrow,-0.5,compat,-0.5,544,-68.87355312524949,-0.3521506555415126
5,arrow,-0.5,incomp,0.5,496,-116.87355312524949,-0.5975747798821482
5,arrow,-0.5,incomp,0.5,697,84.12644687475051,0.4301387407942635
5,gaze,0.5,incomp,0.5,529,-83.87355312524949,-0.4288456943979612
5,arrow,-0.5,incomp,0.5,537,-75.87355312524949,-0.387941673674522
5,arrow,-0.5,incomp,0.5,680,67.12644687475051,0.34321769675695507
5,arrow,-0.5,compat,-0.5,513,-99.87355312524949,-0.5106537358448398
5,gaze,0.5,compat,-0.5,1257,644.1264468747505,3.293420191435013
5,gaze,0.5,compat,-0.5,741,128.1264468747505,0.6551108547731795
5,gaze,0.5,incomp,0.5,620,7.126446874750513,0.036437541331160506
5,arrow,-0.5,incomp,0.5,768,155.1264468747505,0.7931619247147871
5,gaze,0.5,incomp,0.5,549,-63.87355312524949,-0.32658564258936307
5,gaze,0.5,incomp,0.5,621,8.126446874750513,0.04155054392159042
