pid,stim,gaze,target,compat,isi,rt,acc
PO2,stim1,right,right,compat,800,0.628,1
PO2,stim5,left,right,incomp,800,0.664,1
PO2,arrow,right,left,incomp,400,0.546,1
PO2,stim4,right,right,compat,400,0.513,1
PO2,arrow,left,right,incomp,400,0.529,1
PO2,stim1,left,left,compat,800,0.458,1
PO2,arrow,left,left,compat,400,0.676,1
PO2,stim2,right,left,incomp,400,0.646,1
PO2,arrow,right,left,incomp,400,0.592,1
PO2,arrow,right,right,compat,400,0.565,1
PO2,arrow,right,left,incomp,400,0.795,1
PO2,arrow,right,right,compat,800,1.298,1
PO2,stim3,left,left,compat,400,0.65,1
PO2,stim8,right,left,incomp,400,0.668,1
PO2,arrow,left,right,incomp,800,0.511,1
PO2,stim5,right,left,incomp,800,0.832,1
PO2,stim5,right,right,compat,400,0.523,1
PO2,arrow,left,left,compat,400,0.731,1
PO2,arrow,right,right,compat,800,0.724,1
PO2,arrow,left,left,compat,400,0.538,1
PO2,arrow,left,right,incomp,800,0.978,1
PO2,stim6,right,left,incomp,400,0.584,1
PO2,stim7,left,left,compat,800,0.526,1
PO2,arrow,left,right,incomp,400,0.653,1
PO2,stim6,left,left,compat,800,0.801,1
PO2,stim3,right,right,compat,800,0.5,1
PO2,stim6,left,right,incomp,800,0.831,1
PO2,arrow,left,left,compat,800,0.986,1
PO2,arrow,right,left,incomp,400,0.518,1
PO2,arrow,right,left,incomp,800,0.639,1
PO2,arrow,right,right,compat,400,0.531,1
PO2,arrow,right,left,incomp,800,0.546,1
PO2,arrow,right,left,incomp,400,0.489,1
PO2,arrow,left,left,compat,800,0.546,1
PO2,arrow,right,left,incomp,800,0.618,1
PO2,stim7,left,left,compat,400,0.655,1
PO2,stim7,left,right,incomp,800,0.825,0
PO2,stim8,left,right,incomp,400,0.613,1
PO2,stim5,right,right,compat,800,0.489,1
PO2,arrow,left,right,incomp,400,0.611,1
PO2,stim2,left,right,incomp,800,0.648,1
PO2,arrow,right,left,incomp,800,0.604,1
PO2,stim3,right,left,incomp,800,0.568,1
PO2,arrow,right,right,compat,400,0.566,1
PO2,arrow,left,right,incomp,400,0.756,1
PO2,stim1,left,right,incomp,400,0.537,1
PO2,arrow,left,left,compat,400,0.504,1
PO2,arrow,left,left,compat,800,0.585,1
PO2,arrow,left,left,compat,800,0.727,1
PO2,stim6,left,right,incomp,400,0.558,1
PO2,stim8,right,right,compat,400,0.589,1
PO2,stim7,right,right,compat,400,0.378,1
